,0
ΑΘΗΝΑ,5.403388439752976
ΘΕΣΣΑΛΟΝΙΚΗ,4.309693622546986
ΑΙΓΑΛΕΩ,2.7186732261705955
ΠΕΙΡΑΙΑΣ,2.452733775008697
ΒΟΛΟΣ,2.0940630986848876
ΠΑΤΡΑ,1.7078018677392246
ΙΩΑΝΝΙΝΑ,1.707563883791866
ΝΑΥΠΛΙΟ,1.5575740001305012
ΤΡΙΚΑΛΑ,1.2511178362198234
ΛΑΡΙΣΑ,1.2473870526520736
ΞΑΝΘΗ,1.1644051699239328
ΛΑΜΙΑ,0.9547205131785361
ΚΟΜΟΤΗΝΗ,0.9437330907075657
ΠΤΟΛΕΜΑΪΔΑ,0.8972717891757176
ΚΑΛΑΜΑΤΑ,0.8820063302593938
ΧΑΝΙΑ,0.8070903726888626
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,0.7961482598727172
ΚΟΖΑΝΗ,0.7771914448789373
ΚΑΒΑΛΑ,0.7616071035875966
ΗΡΑΚΛΕΙΟ,0.7324349396788524
ΑΓΡΙΝΙΟ,0.6892132768897289
ΡΕΘΥΜΝΟ,0.6765561797173114
ΣΕΡΡΕΣ,0.6344753609196634
ΑΡΤΑ,0.6257342280593239
η έδρα του Τμήματος το 2025 θα μεταφερθεί στην ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,0.611867795725452
ΤΡΙΠΟΛΗ,0.5960980003425062
ΚΕΡΚΥΡΑ,0.52839254962521
ΚΑΣΤΟΡΙΑ,0.499174788752876
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,0.4810773731793418
ΦΛΩΡΙΝΑ,0.46103139364143886
ΜΕΤΟΝΟΜΑΣΙΑ ΤΟΥ ΤΜΗΜΑΤΟΣ ΦΙΛΟΣΟΦΙΚΩΝ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΣΠΟΥΔΩΝ,0.45481615270740156
ΖΑΚΥΝΘΟΣ,0.44701330057425803
ΜΕΣΟΛΟΓΓΙ,0.44028673729016343
ΧΙΟΣ,0.43826741431979166
ΚΑΡΔΙΤΣΑ,0.435008729024209
ΠΡΕΒΕΖΑ,0.3805980608398308
ΡΟΔΟΣ,0.37985436579059917
ΓΡΕΒΕΝΑ,0.3728828995727796
ΣΠΑΡΤΗ,0.3470244020666892
ΑΡΓΟΣΤΟΛΙ,0.3468881102033846
ΣΗΤΕΙΑ,0.30747924398433435
ΜΥΤΙΛΗΝΗ,0.29650430201124806
ΣΑΜΟΣ,0.21104397609936973
ΔΙΔΥΜΟΤΕΙΧΟ,0.17210554201334985
