city,log_bt,hours,island,tourism,gdp
ΑΘΗΝΑ,1.6870262456245657,0.0,0,7.859,38500
ΘΕΣΣΑΛΟΝΙΚΗ,1.46086681633306,0.0,0,3.616,16900
ΑΙΓΑΛΕΩ,1.000143976806243,0.3,0,0.066,13900
ΠΕΙΡΑΙΑΣ,0.8972032290190769,0.3,0,3.126,22300
ΒΟΛΟΣ,0.7391062450816919,2.0,0,16.025,15300
ΠΑΤΡΑ,0.5352070861429692,2.5,0,3.13,15400
ΙΩΑΝΝΙΝΑ,0.5350677254038524,3.5,0,6.116,13000
ΝΑΥΠΛΙΟ,0.4431294826731182,1.5,0,10.215,19700
ΤΡΙΚΑΛΑ,0.22403742066979548,2.5,0,3.385,12700
ΛΑΡΙΣΑ,0.22105100558838436,1.5,0,1.244,17100
ΞΑΝΘΗ,0.15221037286911096,2.5,0,1.469,11100
ΛΑΜΙΑ,-0.04633663769118948,2.2,0,2.285,15000
ΚΟΜΟΤΗΝΗ,-0.05791189571047261,3.0,0,2.051,12100
ΠΤΟΛΕΜΑΪΔΑ,-0.10839646485171395,1.8,0,0.98,15900
ΚΑΛΑΜΑΤΑ,-0.1255560458362559,2.5,0,13.534,14700
ΧΑΝΙΑ,-0.2143196309984297,9.0,1,59.685,16800
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,-0.22796985435976788,4.0,0,4.147,13700
ΚΟΖΑΝΗ,-0.2520685691578906,1.5,0,0.98,15900
ΚΑΒΑΛΑ,-0.272324468358883,1.7,0,21.887,15400
ΗΡΑΚΛΕΙΟ,-0.3113807615866593,9.0,1,47.821,15800
ΑΓΡΙΝΙΟ,-0.3722045103094331,3.0,0,2.237,13500
ΡΕΘΥΜΝΟ,-0.3907397901521848,10.0,1,73.039,15900
ΣΕΡΡΕΣ,-0.4549568248596014,1.0,0,2.099,12500
ΑΡΤΑ,-0.46882955384715197,3.8,0,12.531,12100
ΤΡΙΠΟΛΗ,-0.5173501953290591,2.0,0,10.215,19700
ΚΕΡΚΥΡΑ,-0.6379158063099607,7.0,1,100.783,16100
ΚΑΣΤΟΡΙΑ,-0.694798966501781,2.5,0,2.953,12200
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,-0.731727162812087,10.5,1,55.403,19800
ΦΛΩΡΙΝΑ,-0.7742891392988303,2.5,0,1.249,18500
ΖΑΚΥΝΘΟΣ,-0.8051669296115631,5.5,1,145.503,20300
ΜΕΣΟΛΟΓΓΙ,-0.8203290886587442,3.0,0,2.237,13500
ΧΙΟΣ,-0.8249260199296518,9.0,1,6.237,12300
ΚΑΡΔΙΤΣΑ,-0.8323891813724674,2.8,0,3.385,12700
ΠΡΕΒΕΖΑ,-0.9660114191413944,4.5,0,12.531,12100
ΡΟΔΟΣ,-0.9679673476394346,15.0,1,121.339,16700
ΓΡΕΒΕΝΑ,-0.9864908507926089,2.0,0,0.98,15900
ΣΠΑΡΤΗ,-1.0583601785490626,2.7,0,13.534,14700
ΑΡΓΟΣΤΟΛΙ,-1.0587530000147294,7.0,1,57.014,17000
ΣΗΤΕΙΑ,-1.1793476932516778,11.5,1,55.403,19800
ΜΥΤΙΛΗΝΗ,-1.2156935513368066,11.0,1,11.093,11800
ΣΑΜΟΣ,-1.5556887496894294,12.0,1,33.288,11800
ΔΙΔΥΜΟΤΕΙΧΟ,-1.7596473739975371,5.5,0,4.147,13700
