dept_code,name,city_display,nuts3,field,vac_2019,vac_2025,fill_2019,fill_2025,d_vac,d_fill
129,ΑΓΓΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),Θεσσαλονίκη,EL522,1ο,0.0,0.0,1.0,1.0,0.0,0.0
231,ΑΡΧΙΤΕΚΤΟΝΩΝ ΜΗΧΑΝΙΚΩΝ (ΑΘΗΝΑ),Αθήνα,EL303,2ο,0.0,0.0,1.0,1.0,0.0,0.0
295,ΙΑΤΡΙΚΗΣ (ΑΘΗΝΑ),Αθήνα,EL303,3ο,0.0,0.0,1.0,1.0,0.0,0.0
127,ΑΓΓΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ),Αθήνα,EL303,1ο,0.0,0.0,1.0,1.0,0.0,0.0
297,ΙΑΤΡΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),Θεσσαλονίκη,EL522,3ο,0.0,0.0,1.0,1.0,0.0,0.0
299,ΙΑΤΡΙΚΗΣ (ΠΑΤΡΑ),Πάτρα,EL632,3ο,0.0,0.0,1.0,1.0,0.0,0.0
217,ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ (ΑΘΗΝΑ),Αθήνα,EL303,2ο,0.0,0.0,1.0,1.0,0.0,0.0
301,ΙΑΤΡΙΚΗΣ (ΙΩΑΝΝΙΝΑ),Ιωάννινα,EL543,3ο,0.0,0.0,1.0,1.0,0.0,0.0
300,ΙΑΤΡΙΚΗΣ (ΛΑΡΙΣΑ),Λάρισα,EL612,3ο,0.0,0.0,1.0,1.0,0.0,0.0
304,ΙΑΤΡΙΚΗΣ (ΗΡΑΚΛΕΙΟ),Ηράκλειο,EL431,3ο,0.0,0.0,1.0,1.0,0.0,0.0
355,ΔΙΕΘΝΩΝ ΚΑΙ ΕΥΡΩΠΑΪΚΩΝ ΣΠΟΥΔΩΝ (ΠΕΙΡΑΙΑΣ),Πειραιάς,EL307,4ο,0.0,0.0,1.0,1.0,0.0,0.0
302,ΙΑΤΡΙΚΗΣ (ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ),Αλεξανδρούπολη,EL511,3ο,0.0,0.0,1.0,1.0,0.0,0.0
303,ΟΔΟΝΤΙΑΤΡΙΚΗΣ (ΑΘΗΝΑ),Αθήνα,EL303,3ο,0.0,0.0,1.0,1.0,0.0,0.0
209,ΜΗΧΑΝΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ (ΑΘΗΝΑ),Αθήνα,EL303,2ο,0.0,0.0,1.0,1.0,0.0,0.0
117,ΝΟΜΙΚΗΣ (ΑΘΗΝΑ),Αθήνα,EL303,1ο,0.0,0.0,1.0,1.0,0.0,0.0
305,ΟΔΟΝΤΙΑΤΡΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),Θεσσαλονίκη,EL522,3ο,0.0,0.0,1.0,1.0,0.0,0.0
240,ΔΙΟΙΚΗΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ (ΑΘΗΝΑ),Αθήνα,EL303,4ο,0.0,0.0,1.0,1.0,0.0,0.0
289,ΦΑΡΜΑΚΕΥΤΙΚΗΣ (ΑΘΗΝΑ),Αθήνα,EL303,3ο,0.0,0.0,1.0,1.0,0.0,0.0
119,ΝΟΜΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),Θεσσαλονίκη,EL522,1ο,0.0,0.0,1.0,1.0,0.0,0.0
291,ΦΑΡΜΑΚΕΥΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),Θεσσαλονίκη,EL522,3ο,0.0,0.0,1.0,1.0,0.0,0.0
307,ΚΤΗΝΙΑΤΡΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),Θεσσαλονίκη,EL522,3ο,0.0,0.0,1.0,1.0,0.0,0.0
277,ΒΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ),Αθήνα,EL303,3ο,0.0,0.0,1.0,1.0,0.0,0.0
229,ΝΑΥΠΗΓΩΝ ΜΗΧΑΝΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ (ΑΘΗΝΑ),Αθήνα,EL303,2ο,0.0,0.0,1.0,1.0,0.0,0.0
171,ΨΥΧΟΛΟΓΙΑΣ (ΑΘΗΝΑ) - ΕΚΠΑ,Αθήνα,EL303,1ο,0.0,0.0,1.0,1.0,0.0,0.0
179,"ΔΙΕΘΝΩΝ ΚΑΙ ΕΥΡΩΠΑΪΚΩΝ ΣΠΟΥΔΩΝ (ΑΘΗΝΑ) (Μετονομασία του Τμήματος ΔΙΕΘΝΩΝ, ΕΥΡΩΠΑΪΚΩΝ ΚΑΙ ΠΕΡΙΦΕΡΕΙΑΚΩΝ ΣΠΟΥΔΩΝ)",Αθήνα,EL303,4ο,0.0,0.0,1.0,1.0,0.0,0.0
293,ΦΑΡΜΑΚΕΥΤΙΚΗΣ (ΠΑΤΡΑ),Πάτρα,EL632,3ο,0.0,0.0,1.0,1.0,0.0,0.0
219,ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),Θεσσαλονίκη,EL522,2ο,0.0,0.0,1.0,1.0,0.0,0.0
172,ΨΥΧΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),Θεσσαλονίκη,EL522,1ο,0.0,0.0,1.0,1.0,0.0,0.0
401,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΑΘΗΝΑ),Αθήνα,EL303,4ο,0.0,0.0,1.0,1.0,0.0,0.0
235,ΧΗΜΙΚΩΝ ΜΗΧΑΝΙΚΩΝ (ΑΘΗΝΑ),Αθήνα,EL303,2ο,0.0,0.0,1.0,1.0,0.0,0.0
279,ΒΙΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),Θεσσαλονίκη,EL522,3ο,0.0,0.0,1.0,1.0,0.0,0.0
308,ΚΤΗΝΙΑΤΡΙΚΗΣ (ΚΑΡΔΙΤΣΑ),Καρδίτσα,EL611,3ο,0.0,0.0,1.0,1.0,0.0,0.0
263,ΧΗΜΕΙΑΣ (ΑΘΗΝΑ),Αθήνα,EL303,3ο,0.0,0.0,1.0,1.0,0.0,0.0
170,ΨΥΧΟΛΟΓΙΑΣ (ΑΘΗΝΑ) - ΠΑΝΤΕΙΟ,Αθήνα,EL303,1ο,0.0,0.0,1.0,1.0,0.0,0.0
121,ΝΟΜΙΚΗΣ (ΚΟΜΟΤΗΝΗ),Κομοτηνή,EL513,1ο,0.0,0.0,1.0,1.0,0.0,0.0
