region,nuts3,tourism_per_capita,gdp_per_capita,is_metro,n_depts,vac_2025,vac_2019,d_vac
Fthiotida,EL644,2.285,15000,False,5,0.4573688950550009,0.0,0.4573688950550009
"Lesvos, Limnos",EL411,11.093,11800,False,7,0.4375726809521803,0.0,0.4375726809521803
"Arta, Preveza",EL541,12.531,12100,False,4,0.41330726392812484,0.0,0.41330726392812484
"Grevena, Kozani",EL531,0.98,15900,False,12,0.39616661514444845,0.0,0.39616661514444845
Chania,EL434,59.685,16800,False,6,0.39351096591069856,0.0,0.39351096591069856
"Ikaria, Samos",EL412,33.288,11800,False,3,0.32214765100671144,0.0,0.32214765100671144
"Argolida, Arkadia",EL651,10.215,19700,False,6,0.3061965811965812,0.0,0.3061965811965812
Rethymni,EL433,73.039,15900,False,10,0.28059513771303746,0.0,0.28059513771303746
Kastoria,EL532,2.953,12200,False,4,0.2649932614555256,0.0,0.2649932614555256
"Thasos, Kavala",EL515,21.887,15400,False,5,0.22128041483845234,0.0,0.22128041483845234
Ioannina,EL543,6.116,13000,False,18,0.17952575387204442,0.0,0.17952575387204442
Florina,EL533,1.249,18500,False,4,0.17142857142857143,0.0,0.17142857142857143
Kerkyra,EL622,100.783,16100,False,7,0.16648835156605238,0.0,0.16648835156605238
Evvoia,EL642,8.356,16600,False,5,0.1548872180451128,0.0,0.1548872180451128
Thessaloniki,EL522,3.616,16900,True,63,0.15901362925999757,0.00944858640289363,0.14649433380708057
Kentrikos Tomeas Athinon,EL303,7.859,38500,True,78,0.1454639800940811,0.0,0.1454639800940811
Irakleio,EL431,47.821,15800,False,15,0.12938069656486179,0.0,0.12938069656486179
Larisa,EL612,1.244,17100,False,10,0.12351781551781552,0.0,0.12351781551781552
Achaia,EL632,3.13,15400,False,30,0.11598662139374408,0.0,0.11598662139374408
"Lakonia, Messinia",EL653,13.534,14700,False,11,0.1136770621052694,0.0,0.1136770621052694
Dytikos Tomeas Athinon,EL302,0.066,13900,True,25,0.12329093002088946,0.019428571428571427,0.10386235859231803
"Magnisia, Sporades",EL613,16.025,15300,False,14,0.08870900092274138,0.0,0.08870900092274138
Xanthi,EL512,1.469,11100,False,5,0.04819277108433735,0.0,0.04819277108433735
"Karditsa, Trikala",EL611,3.385,12700,False,6,0.038199895342752484,0.0,0.038199895342752484
Chios,EL413,6.237,12300,False,4,0.002512562814070352,0.0,0.002512562814070352
"Kalymnos, Karpathos – Iroiki Nisos Kasos, Kos, Rodos",EL421,121.339,16700,False,3,0.0,0.0,0.0
"Peiraias, Nisoi",EL307,3.126,22300,True,10,0.0,0.0,0.0
Rodopi,EL513,2.051,12100,False,6,0.0,0.0,0.0
Evros,EL511,4.147,13700,False,7,0.0,0.0,0.0
Serres,EL526,2.099,12500,False,8,0.0,0.043478260869565216,-0.043478260869565216
