,0
Ο.Π.Α.,3.419606957177172
Ε.Μ.Π.,2.929758828721847
ΠΑ. ΜΑΚ.,2.4192120121868537
Ε.Κ.Π.Α.,1.8596728268646632
Α.Π.Θ.,1.6093785732706483
ΠΑΝΤΕΙΟ,1.302457731561783
ΠΑΝ. ΠΕΙΡΑΙΑ,1.3007544153070703
ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,0.8635470111253124
ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,0.6389558600683944
ΠΑΝ. ΠΑΤΡΩΝ,0.5993606516679744
ΔΙ.ΠΑ.Ε.,0.5681439542757081
ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,0.5301698910187824
ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,0.3152622870054151
Δ.Π.Θ.,0.3100556734674895
ΠΑΝ. ΚΡΗΤΗΣ,0.25421404016007126
ΕΛ.ΜΕ.ΠΑ.,0.2523416133403973
ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ,0.22909489194702085
ΠΑΝ. ΔΥΤ. ΜΑΚ.,0.22574843897474098
ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,0.22508779331329978
ΠΑΝ. ΑΙΓΑΙΟΥ,0.14717654854535486
