dept_code,name,field,nuts3,region,vac_2025,base_2025,ebe_coefficient,tourism_per_capita,gdp_per_capita,is_metro,base_2019
333,ΠΛΗΡΟΦΟΡΙΚΗΣ (ΑΘΗΝΑ),4ο,EL303,Kentrikos Tomeas Athinon,0.0,17590.0,1.2,7.859,38500,True,16433.0
221,ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΥΠΟΛΟΓΙΣΤΩΝ - ΠΑΝ. ΠΑΤΡΩΝ (ΠΑΤΡΑ),2ο,EL632,Achaia,0.0,16575.0,1.2,3.13,15400,False,16411.0
201,ΠΟΛΙΤΙΚΩΝ ΜΗΧΑΝΙΚΩΝ (ΑΘΗΝΑ),2ο,EL303,Kentrikos Tomeas Athinon,0.0,17265.0,1.2,7.859,38500,True,16385.0
347,ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΑΘΗΝΑ),4ο,EL303,Kentrikos Tomeas Athinon,0.0,15775.0,1.2,7.859,38500,True,16371.0
269,ΧΗΜΕΙΑΣ (ΙΩΑΝΝΙΝΑ),3ο,EL543,Ioannina,0.0,15570.0,1.0,6.116,13000,False,16353.0
270,ΧΗΜΕΙΑΣ (ΗΡΑΚΛΕΙΟ),3ο,EL431,Irakleio,0.0,15278.0,1.2,47.821,15800,False,16277.0
683,ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ (ΑΙΓΑΛΕΩ),3ο,EL302,Dytikos Tomeas Athinon,0.0,15575.0,1.2,0.066,13900,True,16222.0
123,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ (ΑΘΗΝΑ),1ο,EL303,Kentrikos Tomeas Athinon,0.0,14430.0,1.2,7.859,38500,True,16166.0
153,"ΕΠΙΚΟΙΝΩΝΙΑΣ, ΜΕΣΩΝ ΚΑΙ ΠΟΛΙΤΙΣΜΟΥ (ΑΘΗΝΑ)",1ο,EL303,Kentrikos Tomeas Athinon,0.0,15150.0,1.0,7.859,38500,True,16137.0
332,ΜΗΧΑΝΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ (ΒΟΛΟΣ),2ο,EL613,"Magnisia, Sporades",0.0,16580.0,1.2,16.025,15300,False,16120.0
313,ΟΡΓΑΝΩΣΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΑΘΗΝΑ),4ο,EL303,Kentrikos Tomeas Athinon,0.0,17425.0,1.2,7.859,38500,True,16087.0
306,ΝΟΣΗΛΕΥΤΙΚΗΣ (ΑΘΗΝΑ),3ο,EL303,Kentrikos Tomeas Athinon,0.5149253731343284,14400.0,1.2,7.859,38500,True,16075.0
671,ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ (ΑΙΓΑΛΕΩ),1ο,EL302,Dytikos Tomeas Athinon,0.0,15420.0,0.8,0.066,13900,True,16066.0
385,ΞΕΝΩΝ ΓΛΩΣΣΩΝ ΜΕΤΑΦΡΑΣΗΣ ΚΑΙ ΔΙΕΡΜΗΝΕΙΑΣ (ΚΕΡΚΥΡΑ),1ο,EL622,Kerkyra,0.2755102040816326,14300.0,0.8,100.783,16100,False,16019.0
339,ΠΛΗΡΟΦΟΡΙΚΗΣ (ΠΕΙΡΑΙΑΣ),4ο,EL307,"Peiraias, Nisoi",0.0,16935.0,1.2,3.126,22300,True,15998.0
157,ΝΑΥΤΙΛΙΑΚΩΝ ΣΠΟΥΔΩΝ (ΠΕΙΡΑΙΑΣ),4ο,EL307,"Peiraias, Nisoi",0.0,19210.0,1.0,3.126,22300,True,15971.0
1616,ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),3ο,EL522,Thessaloniki,0.0,15100.0,1.2,3.616,16900,True,15970.0
147,ΔΗΜΟΣΙΟΓΡΑΦΙΑΣ ΚΑΙ ΜΕΣΩΝ ΜΑΖΙΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),1ο,EL522,Thessaloniki,0.0,16860.0,0.9,3.616,16900,True,15949.0
239,ΧΗΜΙΚΩΝ ΜΗΧΑΝΙΚΩΝ (ΠΑΤΡΑ),2ο,EL632,Achaia,0.0,16275.0,1.2,3.13,15400,False,15918.0
1629,ΧΗΜΕΙΑΣ (ΚΑΒΑΛΑ),3ο,EL515,"Thasos, Kavala",0.0,14712.0,1.2,21.887,15400,False,15854.0
680,ΕΡΓΟΘΕΡΑΠΕΙΑΣ (ΑΙΓΑΛΕΩ),3ο,EL302,Dytikos Tomeas Athinon,0.06930693069306931,14370.0,1.2,0.066,13900,True,15836.0
405,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΤΡΙΚΑΛΑ),4ο,EL611,"Karditsa, Trikala",0.0,15134.0,1.0,3.385,12700,False,15828.0
174,ΕΚΠΑΙΔΕΥΤΙΚΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΠΟΛΙΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),1ο,EL522,Thessaloniki,0.07042253521126761,13550.0,1.2,3.616,16900,True,15816.0
328,ΕΠΙΣΤΗΜΗΣ ΤΡΟΦΙΜΩΝ ΚΑΙ ΔΙΑΤΡΟΦΗΣ ΤΟΥ ΑΝΘΡΩΠΟΥ (ΑΘΗΝΑ),3ο,EL303,Kentrikos Tomeas Athinon,0.25961538461538464,14520.0,1.2,7.859,38500,True,15787.0
1211,ΕΦΑΡΜΟΣΜΕΝΗΣ ΠΛΗΡΟΦΟΡΙΚΗΣ - ΕΠΙΣΤΗΜΗ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑ ΥΠΟΛΟΓΙΣΤΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),4ο,EL522,Thessaloniki,0.0,16915.0,1.2,3.616,16900,True,15755.0
128,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΘΗΝΑ),4ο,EL303,Kentrikos Tomeas Athinon,0.0,16250.0,1.2,7.859,38500,True,15732.0
312,ΟΙΚΟΝΟΜΙΚΗΣ ΕΠΙΣΤΗΜΗΣ (ΑΘΗΝΑ),4ο,EL303,Kentrikos Tomeas Athinon,0.0,15900.0,1.2,7.859,38500,True,15725.0
178,ΠΑΙΔΑΓΩΓΙΚΟ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ (ΒΟΛΟΣ),4ο,EL613,"Magnisia, Sporades",0.0,13050.0,1.0,16.025,15300,False,15685.0
