geographiesByLevel_2_fullName,Archetype,median_price,median_price_per_sqm,avg_price_per_sqm,listings_sample_size
Achaia (Peloponnisos),"Archetype 1 (1 Bed, <=55sqm)",510.0,12.65,13.255416666666667,72
Achaia (Peloponnisos),"Archetype 2 (2 Bed, 56-95sqm)",750.0,10.0,10.168000000000001,15
Arcadia (Peloponnisos),"Archetype 1 (1 Bed, <=55sqm)",375.0,9.76,8.671666666666667,18
Arcadia (Peloponnisos),"Archetype 2 (2 Bed, 56-95sqm)",480.0,6.89,7.344666666666667,45
Arcadia (Peloponnisos),"Archetype 3 (3+ Bed, >95sqm)",575.0,2.955,2.8825000000000003,12
Argolis (Peloponnisos),"Archetype 1 (1 Bed, <=55sqm)",450.0,11.6,11.586666666666666,18
Argolis (Peloponnisos),"Archetype 2 (2 Bed, 56-95sqm)",870.0,11.43,14.447142857142856,21
Argolis (Peloponnisos),"Archetype 3 (3+ Bed, >95sqm)",850.0,7.27,7.198571428571428,21
Arta Prefecture (Ipiros),"Archetype 1 (1 Bed, <=55sqm)",280.0,7.745,8.03,48
Arta Prefecture (Ipiros),"Archetype 2 (2 Bed, 56-95sqm)",490.0,7.05,7.2225,12
Arta Prefecture (Ipiros),"Archetype 3 (3+ Bed, >95sqm)",550.0,5.29,5.3533333333333335,9
Athens - Center (Attica),"Archetype 1 (1 Bed, <=55sqm)",600.0,16.905,17.1275,48
Athens - Center (Attica),"Archetype 2 (2 Bed, 56-95sqm)",885.0,12.195,12.781666666666666,18
Athens - Center (Attica),"Archetype 3 (3+ Bed, >95sqm)",8000.0,28.369999999999997,28.369999999999994,6
Athens - East (Attica),"Archetype 1 (1 Bed, <=55sqm)",675.0,12.775,12.775,6
Athens - East (Attica),"Archetype 2 (2 Bed, 56-95sqm)",900.0,12.5,12.257777777777777,27
Athens - East (Attica),"Archetype 3 (3+ Bed, >95sqm)",1900.0,9.09,10.772307692307692,39
Athens - North (Attica),"Archetype 2 (2 Bed, 56-95sqm)",1200.0,15.24,15.24,6
Athens - North (Attica),"Archetype 3 (3+ Bed, >95sqm)",3000.0,13.46,14.390952380952381,63
Athens - South (Attica),"Archetype 1 (1 Bed, <=55sqm)",625.0,14.0,14.456999999999999,30
Athens - South (Attica),"Archetype 2 (2 Bed, 56-95sqm)",850.0,10.71,11.124,15
Athens - South (Attica),"Archetype 3 (3+ Bed, >95sqm)",2900.0,15.26,21.301111111111112,27
Athens - West (Attica),"Archetype 1 (1 Bed, <=55sqm)",500.0,11.82,13.364444444444443,27
Athens - West (Attica),"Archetype 2 (2 Bed, 56-95sqm)",720.0,8.72,9.042222222222223,27
Athens - West (Attica),"Archetype 3 (3+ Bed, >95sqm)",800.0,7.8100000000000005,9.435,18
Chalkidiki (Macedonia),"Archetype 1 (1 Bed, <=55sqm)",700.0,19.64,16.628,15
Chalkidiki (Macedonia),"Archetype 2 (2 Bed, 56-95sqm)",1750.0,22.77,49.5325,24
Chalkidiki (Macedonia),"Archetype 3 (3+ Bed, >95sqm)",3200.0,32.0,39.86636363636364,33
Chania Prefecture (Crete),"Archetype 1 (1 Bed, <=55sqm)",580.0,12.89,16.724,15
Chania Prefecture (Crete),"Archetype 2 (2 Bed, 56-95sqm)",875.0,12.0,13.554,30
Chania Prefecture (Crete),"Archetype 3 (3+ Bed, >95sqm)",1700.0,10.48,11.232000000000001,15
Corinthia (Peloponnisos),"Archetype 1 (1 Bed, <=55sqm)",365.0,9.190000000000001,8.475,30
Corinthia (Peloponnisos),"Archetype 2 (2 Bed, 56-95sqm)",700.0,10.45,11.867142857142857,21
Corinthia (Peloponnisos),"Archetype 3 (3+ Bed, >95sqm)",1200.0,7.4,23.131666666666668,18
Drama Prefecture (Macedonia),"Archetype 1 (1 Bed, <=55sqm)",280.0,7.359999999999999,8.043125,48
Drama Prefecture (Macedonia),"Archetype 2 (2 Bed, 56-95sqm)",390.0,4.725,4.6225,12
Drama Prefecture (Macedonia),"Archetype 3 (3+ Bed, >95sqm)",450.0,3.785,3.785,6
Evia (Sterea Ellada),"Archetype 1 (1 Bed, <=55sqm)",470.0,10.0,10.595,24
Evia (Sterea Ellada),"Archetype 2 (2 Bed, 56-95sqm)",800.0,9.38,9.905454545454546,33
Evia (Sterea Ellada),"Archetype 3 (3+ Bed, >95sqm)",850.0,5.605,5.81,24
Evros (Thraki),"Archetype 1 (1 Bed, <=55sqm)",480.0,11.5,12.101176470588234,51
Evros (Thraki),"Archetype 2 (2 Bed, 56-95sqm)",650.0,8.620000000000001,8.465,18
Evros (Thraki),"Archetype 3 (3+ Bed, >95sqm)",1200.0,12.0,12.0,3
Evrytania (Sterea Ellada),"Archetype 1 (1 Bed, <=55sqm)",250.0,7.08,6.744000000000001,45
Evrytania (Sterea Ellada),"Archetype 2 (2 Bed, 56-95sqm)",410.0,4.925,4.925,6
Evrytania (Sterea Ellada),"Archetype 3 (3+ Bed, >95sqm)",3000.0,7.69,6.866666666666667,9
Florina Prefecture (Macedonia),"Archetype 1 (1 Bed, <=55sqm)",350.0,8.5,8.90764705882353,51
Florina Prefecture (Macedonia),"Archetype 2 (2 Bed, 56-95sqm)",400.0,5.615,5.736249999999999,24
Florina Prefecture (Macedonia),"Archetype 3 (3+ Bed, >95sqm)",400.0,4.0,4.0,3
Fokida (Sterea Ellada),"Archetype 2 (2 Bed, 56-95sqm)",3000.0,38.46,41.138571428571424,21
Fokida (Sterea Ellada),"Archetype 3 (3+ Bed, >95sqm)",11000.0,66.67,60.159333333333336,45
Grevena (Macedonia),"Archetype 1 (1 Bed, <=55sqm)",235.0,6.25,6.33,36
Grevena (Macedonia),"Archetype 2 (2 Bed, 56-95sqm)",350.0,5.38,4.747142857142857,21
Grevena (Macedonia),"Archetype 3 (3+ Bed, >95sqm)",400.0,3.7,3.5,9
Heraklion Prefecture (Crete),"Archetype 1 (1 Bed, <=55sqm)",550.0,12.11,12.001428571428571,42
Heraklion Prefecture (Crete),"Archetype 2 (2 Bed, 56-95sqm)",750.0,9.46,9.726,15
Heraklion Prefecture (Crete),"Archetype 3 (3+ Bed, >95sqm)",1450.0,7.154999999999999,7.368333333333333,18
Imathia (Macedonia),"Archetype 1 (1 Bed, <=55sqm)",300.0,6.67,7.21909090909091,33
Imathia (Macedonia),"Archetype 2 (2 Bed, 56-95sqm)",450.0,5.26,5.14,21
Imathia (Macedonia),"Archetype 3 (3+ Bed, >95sqm)",570.0,4.29,4.1339999999999995,15
Ioannina Prefecture (Ipiros),"Archetype 1 (1 Bed, <=55sqm)",500.0,12.73,12.897857142857143,84
Karditsa Prefecture (Thessalia),"Archetype 1 (1 Bed, <=55sqm)",420.0,10.0,9.770666666666667,30
Karditsa Prefecture (Thessalia),"Archetype 2 (2 Bed, 56-95sqm)",460.0,5.404999999999999,5.695,12
Karditsa Prefecture (Thessalia),"Archetype 3 (3+ Bed, >95sqm)",475.0,3.7600000000000002,3.7600000000000002,4
Kastoria Prefecture (Macedonia),"Archetype 1 (1 Bed, <=55sqm)",320.0,8.195,8.316666666666666,36
Kastoria Prefecture (Macedonia),"Archetype 2 (2 Bed, 56-95sqm)",350.0,4.44,4.164,15
Kastoria Prefecture (Macedonia),"Archetype 3 (3+ Bed, >95sqm)",430.0,3.31,2.43,9
Kavala Prefecture (Macedonia),"Archetype 1 (1 Bed, <=55sqm)",350.0,8.92,9.4548,75
Kavala Prefecture (Macedonia),"Archetype 2 (2 Bed, 56-95sqm)",540.0,6.16,6.16,6
Kefallinia Prefecture (Ionian Islands),"Archetype 1 (1 Bed, <=55sqm)",500.0,11.11,13.242857142857144,21
Kefallinia Prefecture (Ionian Islands),"Archetype 2 (2 Bed, 56-95sqm)",650.0,8.55,9.22875,24
Kefallinia Prefecture (Ionian Islands),"Archetype 3 (3+ Bed, >95sqm)",825.0,6.97,8.434999999999999,18
Kilkis Prefecture (Macedonia),"Archetype 1 (1 Bed, <=55sqm)",470.0,10.0,10.0,6
Kilkis Prefecture (Macedonia),"Archetype 2 (2 Bed, 56-95sqm)",400.0,5.19,5.19,3
Kilkis Prefecture (Macedonia),"Archetype 3 (3+ Bed, >95sqm)",630.0,4.92,5.953333333333333,9
Kozani Prefecture (Macedonia),"Archetype 1 (1 Bed, <=55sqm)",300.0,8.57,8.605789473684212,57
Kozani Prefecture (Macedonia),"Archetype 2 (2 Bed, 56-95sqm)",450.0,5.88,5.9,9
Kozani Prefecture (Macedonia),"Archetype 3 (3+ Bed, >95sqm)",400.0,3.005,3.0925,12
Lakonia (Peloponnisos),"Archetype 1 (1 Bed, <=55sqm)",350.0,8.75,9.194285714285714,21
Lakonia (Peloponnisos),"Archetype 2 (2 Bed, 56-95sqm)",500.0,6.41,7.257142857142857,21
Lakonia (Peloponnisos),"Archetype 3 (3+ Bed, >95sqm)",1500.0,13.64,49.752,15
