geographiesByLevel_4_fullName,median_price_per_sqm,avg_price_per_sqm,listings_count
Ampelokipoi - Pentagon (Athens-Center),11.37,11.37,1
Center (Athens - Center),19.665,19.665,2
Exarchia - Neapoli (Athens-Center),10.91,10.91,1
Gizi - Pedion Areos (Athens-Center),12.015,12.015,2
Gkazi - Metaxourgeio - Votanikos (Athens - Center),18.9,18.5975,4
Goudi (Athens-Center),20.67,20.67,1
Ilisia (Athens-Center),17.35,17.35,1
Kipseli (Athens-Center),13.01,12.7375,4
Kolonaki - Lykavittos (Athens-Center),20.0,22.13,3
Mets - Kalimarmaro (Athens-Center),27.044999999999998,27.044999999999998,2
Neos Kosmos (Athens-Center),10.73,10.73,2
Pagkrati (Athens-Center),14.085,14.2025,4
Sepolia - Skouze (Athens-Center),22.96,22.100000000000005,3
