city,code,actual,cf,indep,cluster2,e_cf,e_indep,e_cluster2
Αθήνα,109,279,231,297,280,48,18,1
Αθήνα,110,174,196,197,186,22,23,12
Αθήνα,1010,66,118,120,113,52,54,47
Θεσσαλονίκη,111,162,184,183,182,22,21,20
Θεσσαλονίκη,112,88,98,108,107,10,20,19
Θεσσαλονίκη,120,138,140,138,137,2,0,1
Ιωάννινα,113,142,114,197,176,28,55,34
Ιωάννινα,114,101,107,117,105,6,16,4
Ιωάννινα,122,151,179,195,174,28,44,23
Πάτρα,175,152,152,152,140,0,0,12
Πάτρα,1284,116,53,116,107,63,0,9
Πάτρα,102,121,158,164,151,37,43,30
Ρέθυμνο,115,80,122,133,128,42,53,48
Ρέθυμνο,116,65,62,68,65,3,3,0
Ρέθυμνο,138,21,31,34,32,10,13,11
