tmima,gnostiko
ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΜΗΧΑΝΙΚΗΣ ΥΛΙΚΩΝ,Φωτονική και Κβαντικές Τεχνολογίες
ΜΑΘΗΜΑΤΙΚΩΝ ΚΑΙ ΕΦΑΡΜΟΣΜΕΝΩΝ ΜΑΘΗΜΑΤΙΚΩΝ,Ανάλυση
ΧΗΜΕΙΑΣ,Χημεία Περιβάλλοντος
ΠΑΙΔΑΓΩΓΙΚΟ ΠΡΟΣΧΟΛΙΚΗΣ,Εκπαιδευτική Πολιτική
ΠΑΙΔΑΓΩΓΙΚΟ ΠΡΟΣΧΟΛΙΚΗΣ,Θετική Ψυχολογία και Εκπαίδευση
ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ,Κοινωνιολογία ΜΜΕ και διαδικτύου
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,Οικονομική Θεωρία και Πολιτική
ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ,Κοινωνικά Κινήματα και Συλλογική Δράση
ΨΥΧΟΛΟΓΙΑΣ,Ψυχολογία των εξαρτήσεων
ΙΑΤΡΙΚΗ,Μοριακή Βιολογία-Βιοπληροφορική
ΙΑΤΡΙΚΗ,Ρευματολογία-Κλινική Ανοσολογία
ΙΑΤΡΙΚΗ,Γαστρεντερολογία
ΙΑΤΡΙΚΗ,Παθολογία
ΙΣΤΟΡΙΑΣ ΚΑΙ ΑΡΧΑΙΟΛΟΓΙΑΣ,Κλασική Αρχαιολογία
ΦΙΛΟΣΟΦΙΑΣ,Πολιτική Φιλοσοφία
ΦΙΛΟΣΟΦΙΑΣ,Υπολογιστική Φιλοσοφία
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ,Ψηφιακές Τεχνολογίες στην Εκπαίδευση
