dept_code,field,base_2025,forecast_2026,lo80,hi80,lo95,hi95,ebe_coef
231,2ο,20380.0,20380.0,19691.6,20892.0,18974.0,21777.8,1.0
161,4ο,19295.0,19295.0,18606.6,19807.0,17889.0,20692.8,1.2
157,4ο,19210.0,19210.0,18521.6,19722.0,17804.0,20607.8,1.0
355,4ο,18990.0,18990.0,18301.6,19502.0,17584.0,20387.8,1.2
295,3ο,18775.0,18775.0,18086.6,19287.0,17369.0,20172.8,1.2
232,2ο,18690.0,18690.0,18001.6,19202.0,17284.0,20087.8,1.2
297,3ο,18575.0,18575.0,17886.6,19087.0,17169.0,19972.8,1.2
299,3ο,18445.0,18445.0,17756.6,18957.0,17039.0,19842.8,1.2
240,4ο,18400.0,18400.0,17711.6,18912.0,16994.0,19797.8,1.2
217,2ο,18390.0,18390.0,17701.6,18902.0,16984.0,19787.8,1.2
889,4ο,18240.0,18240.0,17551.6,18752.0,16834.0,19637.8,1.2
301,3ο,18200.0,18200.0,17511.6,18712.0,16794.0,19597.8,1.2
875,1ο,18155.0,18155.0,17466.6,18667.0,16749.0,19552.8,1.2
129,1ο,18150.0,18150.0,17461.6,18662.0,16744.0,19547.8,1.0
233,2ο,18135.0,18135.0,17446.6,18647.0,16729.0,19532.8,1.0
209,2ο,18128.0,18128.0,17439.6,18640.0,16722.0,19525.8,1.2
300,3ο,18100.0,18100.0,17411.6,18612.0,16694.0,19497.8,1.2
304,3ο,18050.0,18050.0,17361.6,18562.0,16644.0,19447.8,1.2
866,1ο,18040.0,18040.0,17351.6,18552.0,16634.0,19437.8,1.2
305,3ο,17995.0,17995.0,17306.6,18507.0,16589.0,19392.8,1.0
302,3ο,17975.0,17975.0,17286.6,18487.0,16569.0,19372.8,1.2
219,2ο,17960.0,17960.0,17271.6,18472.0,16554.0,19357.8,1.2
303,3ο,17900.0,17900.0,17211.6,18412.0,16494.0,19297.8,1.2
289,3ο,17880.0,17880.0,17191.6,18392.0,16474.0,19277.8,1.2
117,1ο,17875.0,17875.0,17186.6,18387.0,16469.0,19272.8,1.2
229,2ο,17840.0,17840.0,17151.6,18352.0,16434.0,19237.8,1.2
235,2ο,17775.0,17775.0,17086.6,18287.0,16369.0,19172.8,1.2
836,3ο,17770.0,17770.0,17081.6,18282.0,16364.0,19167.8,1.2
867,4ο,17735.0,17735.0,17046.6,18247.0,16329.0,19132.8,1.2
338,4ο,17720.0,17720.0,17031.6,18232.0,16314.0,19117.8,1.2
307,3ο,17657.0,17657.0,16968.6,18169.0,16251.0,19054.8,1.2
291,3ο,17625.0,17625.0,16936.6,18137.0,16219.0,19022.8,1.2
293,3ο,17620.0,17620.0,16931.6,18132.0,16214.0,19017.8,1.2
869,4ο,17590.0,17590.0,16901.6,18102.0,16184.0,18987.8,0.8
333,4ο,17590.0,17590.0,16901.6,18102.0,16184.0,18987.8,1.2
831,3ο,17550.0,17550.0,16861.6,18062.0,16144.0,18947.8,1.2
211,2ο,17525.0,17525.0,16836.6,18037.0,16119.0,18922.8,1.2
841,3ο,17482.0,17482.0,16793.6,17994.0,16076.0,18879.8,1.2
171,1ο,17475.0,17475.0,16786.6,17987.0,16069.0,18872.8,1.0
887,4ο,17465.0,17465.0,16776.6,17977.0,16059.0,18862.8,1.2
877,4ο,17460.0,17460.0,16771.6,17972.0,16054.0,18857.8,0.8
277,3ο,17428.0,17428.0,16739.6,17940.0,16022.0,18825.8,1.2
313,4ο,17425.0,17425.0,16736.6,17937.0,16019.0,18822.8,1.2
401,4ο,17399.0,17399.0,16710.6,17911.0,15993.0,18796.8,0.8
872,4ο,17370.0,17370.0,16681.6,17882.0,15964.0,18767.8,0.8
127,1ο,17355.0,17355.0,16666.6,17867.0,15949.0,18752.8,0.9
846,3ο,17300.0,17300.0,16611.6,17812.0,15894.0,18697.8,1.2
119,1ο,17280.0,17280.0,16591.6,17792.0,15874.0,18677.8,1.2
263,3ο,17275.0,17275.0,16586.6,17787.0,15869.0,18672.8,1.2
201,2ο,17265.0,17265.0,16576.6,17777.0,15859.0,18662.8,1.2
886,4ο,17260.0,17260.0,16571.6,17772.0,15854.0,18657.8,1.2
279,3ο,17190.0,17190.0,16501.6,17702.0,15784.0,18587.8,1.2
403,4ο,17161.0,17161.0,16472.6,17673.0,15755.0,18558.8,0.8
172,1ο,17150.0,17150.0,16461.6,17662.0,15744.0,18547.8,1.2
213,2ο,17130.0,17130.0,16441.6,17642.0,15724.0,18527.8,1.2
308,3ο,17125.0,17125.0,16436.6,17637.0,15719.0,18522.8,1.2
236,2ο,17105.0,17105.0,16416.6,17617.0,15699.0,18502.8,1.0
170,1ο,17100.0,17100.0,16411.6,17612.0,15694.0,18497.8,1.0
883,4ο,17080.0,17080.0,16391.6,17592.0,15674.0,18477.8,0.9
179,4ο,17040.0,17040.0,16351.6,17552.0,15634.0,18437.8,1.0
884,2ο,17025.0,17025.0,16336.6,17537.0,15619.0,18422.8,1.2
237,2ο,17000.0,17000.0,16311.6,17512.0,15594.0,18397.8,1.2
330,4ο,16955.0,16955.0,16266.6,17467.0,15549.0,18352.8,1.2
339,4ο,16935.0,16935.0,16246.6,17447.0,15529.0,18332.8,1.2
1211,4ο,16915.0,16915.0,16226.6,17427.0,15509.0,18312.8,1.2
147,1ο,16860.0,16860.0,16171.6,17372.0,15454.0,18257.8,0.9
779,2ο,16785.0,16785.0,16096.6,17297.0,15379.0,18182.8,0.8
281,3ο,16746.0,16746.0,16057.6,17258.0,15340.0,18143.8,1.0
121,1ο,16725.0,16725.0,16036.6,17237.0,15319.0,18122.8,1.2
1212,4ο,16705.0,16705.0,16016.6,17217.0,15299.0,18102.8,1.2
881,4ο,16650.0,16650.0,15961.6,17162.0,15244.0,18047.8,0.9
316,4ο,16620.0,16620.0,15931.6,17132.0,15214.0,18017.8,1.2
290,3ο,16595.0,16595.0,15906.6,17107.0,15189.0,17992.8,1.2
265,3ο,16590.0,16590.0,15901.6,17102.0,15184.0,17987.8,0.8
332,2ο,16580.0,16580.0,15891.6,17092.0,15174.0,17977.8,1.2
221,2ο,16575.0,16575.0,15886.6,17087.0,15169.0,17972.8,1.2
1251,1ο,16575.0,16575.0,15886.6,17087.0,15169.0,17972.8,1.0
282,3ο,16430.0,16430.0,15741.6,16942.0,15024.0,17827.8,1.0
314,4ο,16350.0,16350.0,15661.6,16862.0,14944.0,17747.8,1.2
294,3ο,16344.0,16344.0,15655.6,16856.0,14938.0,17741.8,1.2
826,2ο,16335.0,16335.0,15646.6,16847.0,14929.0,17732.8,1.2
412,4ο,16320.0,16320.0,15631.6,16832.0,14914.0,17717.8,1.2
239,2ο,16275.0,16275.0,15586.6,16787.0,14869.0,17672.8,1.2
280,3ο,16260.0,16260.0,15571.6,16772.0,14854.0,17657.8,1.2
128,4ο,16250.0,16250.0,15561.6,16762.0,14844.0,17647.8,1.2
267,3ο,16240.0,16240.0,15551.6,16752.0,14834.0,17637.8,1.2
1005,4ο,16220.0,16220.0,15531.6,16732.0,14814.0,17617.8,1.2
151,1ο,16165.0,16165.0,15476.6,16677.0,14759.0,17562.8,1.2
148,1ο,16110.0,16110.0,15421.6,16622.0,14704.0,17507.8,1.0
284,3ο,16030.0,16030.0,15341.6,16542.0,14624.0,17427.8,1.2
880,4ο,16030.0,16030.0,15341.6,16542.0,14624.0,17427.8,1.0
220,2ο,16000.0,16000.0,15311.6,16512.0,14594.0,17397.8,1.0
140,4ο,15950.0,15950.0,15261.6,16462.0,14544.0,17347.8,0.8
262,4ο,15940.0,15940.0,15251.6,16452.0,14534.0,17337.8,1.2
1550,1ο,15905.0,15905.0,15216.6,16417.0,14499.0,17302.8,1.0
312,4ο,15900.0,15900.0,15211.6,16412.0,14494.0,17297.8,1.2
325,3ο,15870.0,15870.0,15181.6,16382.0,14464.0,17267.8,1.2
246,2ο,15860.0,15860.0,15171.6,16372.0,14454.0,17257.8,1.2
203,2ο,15850.0,15850.0,15161.6,16362.0,14444.0,17247.8,1.2
670,4ο,15850.0,15850.0,15161.6,16362.0,14444.0,17247.8,1.2
347,4ο,15775.0,15775.0,15086.6,16287.0,14369.0,17172.8,1.2
216,4ο,15646.0,15646.0,14957.6,16158.0,14240.0,17043.8,1.2
409,1ο,15600.0,15600.0,14911.6,16112.0,14194.0,16997.8,1.2
234,2ο,15575.0,15575.0,14886.6,16087.0,14169.0,16972.8,0.8
683,3ο,15575.0,15575.0,14886.6,16087.0,14169.0,16972.8,1.2
269,3ο,15570.0,15570.0,14881.6,16082.0,14164.0,16967.8,1.0
322,4ο,15532.0,15532.0,14843.6,16044.0,14126.0,16929.8,1.2
392,2ο,15477.0,15477.0,14788.6,15989.0,14071.0,16874.8,1.2
370,2ο,15470.0,15470.0,14781.6,15982.0,14064.0,16867.8,1.05
1668,1ο,15450.0,15450.0,14761.6,15962.0,14044.0,16847.8,1.2
671,1ο,15420.0,15420.0,14731.6,15932.0,14014.0,16817.8,0.8
390,4ο,15336.0,15336.0,14647.6,15848.0,13930.0,16733.8,1.2
827,2ο,15305.0,15305.0,14616.6,15817.0,13899.0,16702.8,1.2
270,3ο,15278.0,15278.0,14589.6,15790.0,13872.0,16675.8,1.2
150,4ο,15150.0,15150.0,14461.6,15662.0,13744.0,16547.8,1.2
153,1ο,15150.0,15150.0,14461.6,15662.0,13744.0,16547.8,1.0
405,4ο,15134.0,15134.0,14445.6,15646.0,13728.0,16531.8,1.0
164,4ο,15125.0,15125.0,14436.6,15637.0,13719.0,16522.8,0.8
1616,3ο,15100.0,15100.0,14411.6,15612.0,13694.0,16497.8,1.2
315,4ο,15100.0,15100.0,14411.6,15612.0,13694.0,16497.8,1.2
408,1ο,15050.0,15050.0,14361.6,15562.0,13644.0,16447.8,0.9
393,2ο,14850.0,14850.0,14161.6,15362.0,13444.0,16247.800000000001,1.0
