date,type,title_en,description,severity,greece_specific,source_url,methodology_url,retrieved_date,note
2021-04-09,journalist_killing,Assassination of Journalist Giorgos Karaivaz,Giorgos Karaivaz was shot and killed outside his home in Alimos. He was an investigative journalist covering organized crime.,High,TRUE,https://rsf.org/en/greece-fourth-anniversary-giorgos-karaivazs-assassination-rsf-and-partners-demand-justice,https://fom.coe.int/en/methodology,2026-07-19,
2022-04-11,surveillance,Journalist Thanasis Koukakis Targeted with Predator Spyware,Citizen Lab confirmed the phone of financial journalist Thanasis Koukakis was infected with Predator spyware.,High,TRUE,https://www.europarl.europa.eu/thinktank/en/document/IPOL_BRI(2024)761472,https://fom.coe.int/en/methodology,2026-07-19,
2022-07-26,surveillance,MEP Nikos Androulakis Files Complaint Over Predator Attempt,PASOK leader and MEP Nikos Androulakis filed a complaint to the Supreme Court regarding an attempt to infect his phone with Predator.,High,TRUE,https://www.europarl.europa.eu/thinktank/en/document/IPOL_BRI(2024)761472,https://www.europarl.europa.eu/committees/en/pega/about,2026-07-19,
2023-05-08,eu_report,PEGA Committee Adopts Final Report on Greece,The European Parliament Committee of Inquiry to investigate the use of Pegasus and equivalent surveillance spyware (PEGA) adopted its final report and recommendations regarding Greece.,High,TRUE,https://www.europarl.europa.eu/doceo/document/TA-9-2023-0244_EN.html,https://www.europarl.europa.eu/committees/en/pega/about,2026-07-19,
2022-12-21,surveillance,ADAE Audit on Telecommunications Providers,The Hellenic Authority for Communication Security and Privacy (ADAE) conducted audits at telecommunications providers following surveillance allegations.,Medium,TRUE,https://rsf.org/en/country/greece,https://www.adae.gr/,2026-07-19,
2020,eu_report,2020 Rule of Law Report - Country Chapter on the rule of law situation in Greece,European Commission annual assessment of the rule of law in Greece.,Medium,TRUE,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/upholding-rule-law/rule-law/annual-rule-law-cycle/2020-rule-law-report_en,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/upholding-rule-law/rule-law/rule-law-mechanism_en,2026-07-19,
2021,eu_report,2021 Rule of Law Report - Country Chapter on the rule of law situation in Greece,European Commission annual assessment of the rule of law in Greece.,Medium,TRUE,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/upholding-rule-law/rule-law/annual-rule-law-cycle/2021-rule-law-report_en,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/upholding-rule-law/rule-law/rule-law-mechanism_en,2026-07-19,
2022,eu_report,2022 Rule of Law Report - Country Chapter on the rule of law situation in Greece,European Commission annual assessment of the rule of law in Greece.,Medium,TRUE,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/upholding-rule-law/rule-law/annual-rule-law-cycle/2022-rule-law-report_en,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/upholding-rule-law/rule-law/rule-law-mechanism_en,2026-07-19,
2023,eu_report,2023 Rule of Law Report - Country Chapter on the rule of law situation in Greece,European Commission annual assessment of the rule of law in Greece.,Medium,TRUE,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/upholding-rule-law/rule-law/annual-rule-law-cycle/2023-rule-law-report_en,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/upholding-rule-law/rule-law/rule-law-mechanism_en,2026-07-19,
2024,eu_report,2024 Rule of Law Report - Country Chapter on the rule of law situation in Greece,European Commission annual assessment of the rule of law in Greece.,Medium,TRUE,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/upholding-rule-law/rule-law/annual-rule-law-cycle/2024-rule-law-report_en,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/upholding-rule-law/rule-law/rule-law-mechanism_en,2026-07-19,
