source_name,issuing_body,url,methodology_url,coverage_years,indicator_type,note
Freedom House,Freedom House,https://freedomhouse.org/,https://freedomhouse.org/reports/freedom-world/freedom-world-research-methodology,2013-2024,Democracy / Governance,
Economist Intelligence Unit,Economist Group,https://ourworldindata.org/grapher/democracy-index-eiu?country=~GRC,https://www.eiu.com/n/campaigns/democracy-index-2024/,2013-2024,Democracy / Governance,
V-Dem Institute,University of Gothenburg,https://ourworldindata.org/grapher/liberal-democracy-index?country=~GRC,https://v-dem.net/methodology.html,2013-2023,Democracy / Governance,
World Bank,World Bank Group,https://info.worldbank.org/governance/wgi/,https://info.worldbank.org/governance/wgi/,2013-2022,Governance,
Reporters Without Borders,Reporters Without Borders,https://rsf.org/,https://rsf.org/en/index-methodology,2013-2025,Press Freedom,
CMPF,Centre for Media Pluralism and Media Freedom,https://cmpf.eui.eu/,https://cmpf.eui.eu/mpm-methodology/,2013-2023,Press Freedom,
Transparency International,Transparency International,https://www.transparency.org/,https://www.transparency.org/en/cpi/about/methodology,2013-2024,Corruption,
CIVICUS,CIVICUS,https://monitor.civicus.org/,https://monitor.civicus.org/methodology/,2018-2023,Civic Space,
Council of Europe Platform,Council of Europe,https://fom.coe.int/en/accueil,https://fom.coe.int/en/methodology,2015-2025,Journalist Safety,
PEGA Committee,European Parliament,https://www.europarl.europa.eu/thinktank/en/document/IPOL_BRI(2024)761472,https://www.europarl.europa.eu/committees/en/pega/about,2022-2023,Surveillance,
EU Rule of Law Report,European Commission,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/upholding-rule-law/rule-law/rule-law-mechanism_en,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/upholding-rule-law/rule-law/rule-law-mechanism_en,2020-2024,Governance,
ECtHR,Council of Europe,https://hudoc.echr.coe.int/,https://echr.coe.int/,2000-2025,Court Rulings,
Greek Ombudsman,Hellenic Republic,https://www.synigoros.gr/,https://www.synigoros.gr/,2018-2024,Police Oversight,
Amnesty International,Amnesty International,https://www.amnesty.org/,https://www.amnesty.org/en/about-us/,2013-2025,Human Rights,
