Page,Price,Price_Per_Sqm
1,2100,14
1,2100,14
1,1350,10
1,1050,12
1,1200,12
1,1700,18
1,2150,15
1,850,10
1,1350,27
1,4500,9
1,1100,13
1,2000,18
1,1330,11
1,3750,21
1,620,26
1,2290,15
1,1600,14
1,9000,41
1,2240,16
1,1580,14
1,4000,22
1,2080,17
1,1625,17
1,1200,10
1,490,13
1,1100,15
1,420,11
1,980,7
1,2000,17
1,2900,17
1,1500,18
1,8500,17
1,2500,19
1,2000,27
1,1250,9
2,2100,18
2,2100,18
2,2000,21
2,850,15
2,600,10
2,4500,21
2,850,12
2,1350,12
2,1020,14
2,1250,13
2,1200,18
2,1670,15
2,740,11
2,2500,15
2,1850,16
2,4500,8
2,1500,10
2,1100,13
2,2200,6
2,1300,9
2,1510,12
2,4900,11
2,1510,11
2,4500,13
2,750,8
2,1090,13
2,1270,12
2,600,13
2,1000,10
2,2500,11
2,3000,11
2,500,5
2,850,7
2,1780,15
2,4000,34
3,650,14
3,650,14
3,525,18
3,1500,17
3,2500,11
3,2490,17
3,550,13
3,500,14
3,1000,9
3,1030,14
3,2800,12
3,900,10
3,650,11
3,1050,11
3,880,11
3,1000,14
3,800,9
3,1200,11
3,1000,11
3,700,8
3,1600,19
3,2000,17
3,1390,20
3,850,9
3,1870,22
3,1150,13
3,880,23
3,800,12
3,1350,8
3,1150,12
3,3000,16
3,1050,16
3,430,11
3,700,8
3,1100,10
4,850,8
4,850,8
4,850,10
4,2100,16
4,1700,18
4,1950,10
4,980,11
4,1080,16
4,1500,17
4,2300,17
4,650,10
4,600,11
4,700,14
4,1530,15
4,880,13
4,930,16
4,1400,15
4,1450,13
4,1600,15
4,1130,14
4,1300,19
4,1250,11
4,4500,20
4,1720,14
4,1800,23
4,4000,13
4,1520,13
4,700,9
4,1520,14
4,780,20
4,820,13
4,950,11
4,520,14
4,730,9
4,700,8
5,900,17
5,900,17
5,880,18
5,1700,17
5,3500,22
5,1140,21
5,750,15
5,1780,13
5,1600,14
5,1040,13
5,1300,17
5,4000,8
5,2500,15
5,850,9
5,550,13
5,750,10
5,1350,11
5,3800,15
5,1100,12
5,1100,13
5,1900,9
5,750,17
5,2400,60
5,900,15
5,2340,28
5,890,9
5,1200,14
5,600,10
5,900,8
5,650,9
5,630,18
5,3500,23
5,1000,12
5,5500,39
5,5500,39
6,2700,14
6,2700,14
6,600,12
6,1830,18
6,750,8
6,490,20
6,1450,11
6,1350,16
6,630,9
6,880,15
6,10000,13
6,2600,26
6,1000,20
6,1110,10
6,1050,17
6,1500,7
6,4200,31
6,630,11
6,580,11
6,1300,14
6,1200,9
6,850,9
6,550,17
6,950,11
6,2350,12
6,500,9
6,3500,26
6,2800,22
6,530,18
6,950,11
6,2000,22
6,400,11
6,1250,10
6,990,25
6,1350,9
7,630,18
7,630,18
7,600,12
7,500,8
7,950,10
7,800,8
7,780,16
7,2400,24
7,2400,24
7,6000,29
7,1140,11
7,850,9
7,5300,41
7,1000,10
7,430,10
7,4400,24
7,10000,50
7,750,9
7,450,7
7,650,8
7,3000,16
7,750,6
7,550,10
7,4000,13
7,800,18
7,1100,10
7,900,12
7,770,16
7,650,9
7,800,11
7,1860,16
7,570,18
7,3500,25
7,1800,24
7,550,11
8,5000,33
8,5000,33
8,5300,41
8,900,9
8,3900,13
8,720,17
8,600,5
8,1000,22
8,1200,8
8,700,10
8,1200,9
8,1110,20
8,1700,12
8,2700,33
8,1400,14
8,580,23
8,700,14
8,1440,28
8,550,18
8,1200,12
8,750,9
8,650,13
8,2600,9
8,850,8
8,570,10
8,300,10
8,2500,22
8,450,8
8,6000,10
8,1250,10
8,700,9
8,800,10
8,480,14
8,820,12
8,600,8
